,n_nodes,n_edges,edge_node_ratio,bi_ratio,w_b_edges,w_edges,d_b_edges,d_edges,w_bi_ratio,d_bi_ratio
93,428,3340,7.803738317757009,0.38592814371257483,527,1410,762,1930,0.37375886524822693,0.39481865284974094
94,430,3992,9.283720930232558,0.3907815631262525,685,1829,875,2163,0.3745215965008201,0.4045307443365696
95,429,3841,8.953379953379953,0.3972923717781828,639,1646,887,2195,0.3882138517618469,0.4041002277904328
96,424,1966,4.636792452830188,0.41861648016276704,202,502,621,1464,0.40239043824701193,0.42418032786885246
97,420,2071,4.930952380952381,0.39835828102366005,199,522,626,1549,0.38122605363984674,0.4041316978695933
98,425,1949,4.5858823529411765,0.37609030271934324,157,419,576,1530,0.3747016706443914,0.3764705882352941
99,421,1919,4.558194774346793,0.3866597186034393,157,417,585,1502,0.3764988009592326,0.38948069241011984
100,417,1854,4.446043165467626,0.395361380798274,152,414,581,1440,0.3671497584541063,0.40347222222222223
101,428,1984,4.635514018691588,0.3855846774193548,153,448,612,1536,0.34151785714285715,0.3984375
102,427,2106,4.932084309133489,0.3708452041785375,173,492,608,1614,0.3516260162601626,0.37670384138785623
103,424,1975,4.658018867924528,0.3660759493670886,147,441,576,1534,0.3333333333333333,0.3754889178617992
104,415,1587,3.824096385542169,0.40516698172652804,143,326,500,1261,0.4386503067484663,0.3965107057890563
105,428,1860,4.345794392523365,0.37473118279569895,155,406,542,1454,0.3817733990147783,0.37276478679504815
106,424,2124,5.009433962264151,0.3954802259887006,189,504,651,1620,0.375,0.40185185185185185
107,429,2126,4.9557109557109555,0.3988711194731891,203,523,645,1603,0.3881453154875717,0.4023705552089832
108,424,2373,5.596698113207547,0.4117151285292878,274,706,703,1667,0.3881019830028329,0.4217156568686263
109,400,2349,5.8725,0.4171988080034057,275,675,705,1674,0.4074074074074074,0.4211469534050179
110,371,2282,6.150943396226415,0.4092900964066608,307,780,627,1502,0.3935897435897436,0.4174434087882823
111,321,2095,6.526479750778816,0.41479713603818613,297,744,572,1351,0.39919354838709675,0.4233900814211695
112,284,1406,4.950704225352113,0.4317211948790896,170,430,437,976,0.3953488372093023,0.44774590163934425
113,244,1044,4.278688524590164,0.4281609195402299,126,284,321,760,0.44366197183098594,0.42236842105263156
114,222,961,4.328828828828829,0.46097814776274715,132,260,311,701,0.5076923076923077,0.44365192582025675
